query_idx,ef_true,RV_log,m_LID
1730,50,0.463536,7.22803
3464,50,0.386817,11.5413
662,50,0.55341,9.15872
6236,200,0.525837,10.7912
9488,50,0.558834,7.65107
2113,150,0.218499,16.2578
457,50,0.396017,16.196
2411,50,0.448401,9.0137
3127,200,0.228359,18.1889
758,50,0.32279,10.228
3863,50,0.365103,10.9079
7848,150,0.30813,17.3606
1537,50,0.321783,10.8455
8819,100,0.385436,11.7307
3537,100,0.280552,13.2707
2606,1050,0.282276,13.717
7810,50,0.371239,14.3109
8934,50,0.345883,16.1381
5896,150,0.310387,11.2469
6485,250,0.259701,19.5885
2463,50,0.377886,13.9064
9611,100,0.295306,12.2399
8876,50,0.445617,10.4689
4629,50,0.533451,5.29223
5430,150,0.29136,13.4179
1327,50,0.290731,14.7764
3742,150,0.345904,10.6821
409,200,0.347943,11.3726
3272,50,0.372413,10.8659
1207,50,0.402968,15.8578
9981,50,0.214319,16.0687
8017,900,0.260615,19.177
6689,50,0.47327,9.88777
26,50,0.350706,7.7983
9529,100,0.274689,12.8895
4768,50,0.352868,12.4484
7856,50,0.299426,12.1406
3287,50,0.373146,9.34229
2192,50,0.669266,3.48319
7713,50,0.325873,12.8342
7057,50,0.323989,12.9657
3714,150,0.388745,13.1361
9552,150,0.282433,16.3598
1544,50,0.402728,11.0166
3294,50,0.491171,9.52453
1193,50,0.268323,12.3559
4826,400,0.258348,21.5586
2631,50,0.263993,14.1283
2111,50,0.463853,7.3907
8093,150,0.269075,12.9707
4581,50,0.389553,8.51231
5049,50,0.389992,10.8225
5446,150,0.30326,12.674
8484,50,0.230068,20.5534
3885,50,0.480851,10.4784
5098,50,0.518583,9.38495
8008,50,0.298676,11.4884
4623,50,0.408959,11.3288
3733,50,0.294998,14.7777
7324,100,0.273661,13.3735
6711,200,0.195806,16.5882
2966,50,0.440461,10.8846
5217,100,0.239596,11.2453
3812,50,0.277401,11.1061
2822,100,0.25784,13.1326
8276,50,0.333353,10.7902
2987,100,0.312617,18.6149
3868,50,0.456522,12.6025
1926,350,0.230844,13.4361
1351,50,0.334852,14.9485
2107,50,0.355216,10.7399
3453,50,0.406681,12.9842
3674,250,0.376217,11.0067
7538,300,0.28314,18.2756
4350,250,0.258996,19.0056
8998,100,0.268218,14.5779
5097,150,0.319681,17.0949
2718,50,0.343239,13.8892
4543,50,0.270886,12.5316
8877,50,0.260107,15.8231
2836,50,0.451187,10.717
8791,50,0.443101,7.44358
2782,300,0.223392,19.3468
1279,300,0.256952,19.4131
6442,400,0.224866,16.6404
1447,50,0.33055,11.8134
2872,50,0.341404,13.1095
6269,50,0.280455,17.2139
7302,350,0.736898,1.04166
9793,50,0.484636,8.17226
5191,200,0.255342,15.4483
4608,50,0.517943,6.67618
1999,50,0.272715,9.82872
1023,50,0.395131,10.8586
9225,250,0.212542,12.1646
2391,100,0.250392,12.5119
1874,100,0.278954,15.1905
9114,350,0.200251,18.9674
8238,50,0.250206,12.5207
4265,50,0.474726,10.7
9495,150,0.223268,18.2699
3682,150,0.228118,18.604
6974,100,0.310526,12.738
6453,150,0.266123,12.7852
8476,50,0.322557,13.2753
2309,150,0.315445,9.32745
8263,50,0.337292,9.27824
6020,50,0.559361,8.03542
1216,50,0.480378,12.727
1012,50,0.440934,8.97844
5012,50,0.512561,8.29419
1339,150,0.308179,13.9635
7181,50,0.448429,9.40333
4233,50,0.324973,15.9304
8649,100,0.438121,10.3463
2926,100,0.2548,15.8946
5022,350,0.212132,16.3808
5286,100,0.302185,16.2568
9916,150,0.239497,17.1873
6785,50,0.480096,7.6938
3300,50,0.345384,10.4346
555,50,0.480225,8.48595
3444,50,0.667423,4.06234
315,200,0.258615,20.6291
563,100,0.355442,11.0959
9629,100,0.294873,15.436
9523,50,0.341372,12.9749
6979,650,0.176454,26.6781
9468,200,0.27865,19.1107
2544,150,0.274246,18.0832
5333,50,0.40941,8.71103
9877,50,0.581591,5.89634
687,400,0.257964,12.9552
7068,450,0.35895,16.6674
2754,50,0.447941,8.19132
8126,250,0.285493,18.248
8440,150,0.532211,8.52745
4217,100,0.311764,11.6353
1925,50,0.534809,5.58286
6106,50,0.504225,6.54792
9166,250,0.295492,25.4466
4397,200,0.24083,24.1139
6060,100,0.353305,11.5334
8971,200,0.333462,13.4834
2060,100,0.27353,12.3313
2565,50,0.516207,6.81083
4522,100,0.253077,16.3997
1573,50,0.404646,14.2618
9555,800,0.224638,16.0295
4524,100,0.309356,15.1336
6186,50,0.416175,13.8675
1509,50,0.595332,12.1754
8049,200,0.247095,12.5107
6896,50,0.385842,10.6024
1771,300,0.24256,19.7331
5379,50,0.372242,9.70557
3401,50,0.444848,14.8217
1347,650,0.292143,14.361
3745,150,0.317313,14.1656
2556,300,0.287942,13.2767
3254,50,0.302373,12.9088
5042,50,0.534536,12.6088
4724,150,0.294364,14.7092
9449,50,0.594008,9.00593
9115,150,0.300358,14.9087
938,50,0.39699,9.87876
8623,100,0.312937,18.8775
5933,50,0.318014,14.5513
2137,50,0.428206,12.533
273,50,0.475905,9.483
7782,100,0.320544,11.8849
503,50,0.458444,9.25564
872,50,0.527908,13.0425
9059,100,0.348766,10.5407
4510,400,0.318618,13.6301
1585,50,0.501626,9.28835
6542,100,0.30298,21.44
3549,400,0.364486,13.3469
9332,50,0.339719,11.7441
488,200,0.274687,16.2655
7214,50,0.392008,7.93404
5018,50,0.423711,8.74328
8314,50,0.300071,15.65
9257,50,0.293979,12.9633
141,50,0.278407,10.6723
4595,50,0.768412,1.34449
5695,200,0.319388,14.4155
4579,50,0.431117,8.69534
7527,50,0.532424,5.97425
9321,50,0.830265,1.70701
239,50,0.441338,7.84925
5485,50,0.436928,7.04369
4188,900,0.176108,18.6035
7689,100,0.331839,12.7527
1027,50,0.333807,11.9532
9496,100,0.269357,11.3189
6090,100,0.282449,13.7396
4702,300,0.296849,12.9674
7879,200,0.244564,18.4042
4760,50,0.29009,11.037
1146,1200,0.25878,12.3457
6960,1200,0.242975,14.3664
351,50,0.363792,11.8896
1525,1550,0.205561,22.2742
9753,50,0.394126,13.9537
9619,1000,0.304802,19.2005
9715,100,0.231656,15.4016
5717,100,0.448107,10.0251
2452,100,0.353941,14.4935
7907,50,0.354051,14.7201
2356,800,0.201192,21.2426
9868,50,0.353925,10.7188
8833,100,0.208853,19.169
4525,100,0.279941,12.8426
4990,50,0.444607,9.68751
8237,200,0.273081,17.3784
9067,100,0.515088,10.7154
8468,50,0.340035,10.361
1029,50,0.335627,10.7964
251,50,0.371982,10.1172
4733,350,0.229965,16.8065
4528,150,0.237946,18.8481
817,50,0.386002,14.3942
3074,50,0.382701,9.04569
5494,100,0.337593,19.8445
102,50,0.456032,10.8098
3267,100,0.30345,16.7676
4610,50,0.29428,13.2862
4540,50,0.349366,10.7234
8958,250,0.211445,15.5882
3111,50,0.294593,15.0136
2860,100,0.375326,16.8078
5053,150,0.319548,11.1767
1616,50,0.74388,2.25014
6331,700,0.208889,20.5914
4979,200,0.310644,17.4269
6202,450,0.273413,12.9053
4511,150,0.337373,18.56
3969,50,0.597589,4.95147
7737,100,0.26379,15.9868
6520,50,0.363936,7.75466
1147,50,0.426341,12.399
4533,100,0.285598,17.1809
2053,400,0.346913,8.43885
6722,100,0.29406,19.3682
9187,350,0.197612,17.188
1853,150,0.2514,21.963
236,50,0.414356,9.1047
1393,50,0.479298,5.23605
56,50,0.709528,5.02746
