query_idx,ef_true,RV_log
1730,250,0.261112
3464,150,0.30641
662,50,0.464901
6236,50,0.383696
9488,150,0.18348
2113,50,0.420649
457,50,0.405586
2411,50,0.270769
3127,100,0.324721
758,50,0.522496
3863,50,0.41732
7848,50,0.592023
1537,100,0.432582
8819,50,0.458779
3537,50,0.453936
2606,50,0.371812
7810,250,0.295026
8934,50,0.537875
5896,50,0.532466
6485,50,0.321495
2463,200,0.233028
9611,50,0.647296
8876,100,0.408389
4629,50,0.420461
5430,50,0.404295
1327,300,0.333894
3742,50,0.439012
409,350,0.429978
3272,100,0.281034
1207,150,0.335343
9981,200,0.327301
8017,50,0.564294
6689,50,0.694412
26,100,0.372443
9529,50,0.50442
4768,50,0.355667
7856,50,0.601573
3287,50,0.472406
2192,50,0.541804
7713,200,0.252645
7057,100,0.254157
3714,50,0.40233
9552,50,0.300637
1544,150,0.327963
3294,50,0.652683
1193,50,0.358001
4826,50,0.449738
2631,100,0.31463
2111,100,0.46244
8093,100,0.3068
4581,50,0.478953
5049,50,0.411109
5446,50,0.524911
8484,100,0.312
3885,50,0.430486
5098,50,0.468115
8008,50,0.332255
4623,50,0.47275
3733,50,0.459894
7324,50,0.256294
6711,50,0.725918
2966,50,0.444377
5217,50,0.495861
3812,200,0.373931
2822,50,0.75981
8276,50,0.429612
2987,50,0.653021
3868,100,0.34798
1926,50,0.433048
1351,50,0.324281
2107,100,0.358741
3453,50,0.531115
3674,50,0.644732
7538,50,0.718382
4350,50,0.379543
8998,50,0.423313
5097,50,0.484127
2718,50,0.413125
4543,100,0.277316
8877,50,0.367131
2836,50,0.471595
8791,100,0.407106
2782,150,0.308947
1279,100,0.334485
6442,50,0.459244
1447,50,0.475229
2872,50,0.576064
6269,50,0.349547
7302,50,0.419086
9793,50,0.552171
5191,50,0.474609
4608,100,0.324781
1999,50,0.438264
1023,100,0.335833
9225,100,0.341263
2391,50,0.409412
1874,50,0.423445
9114,50,0.436988
8238,50,0.445772
4265,50,0.364832
